iter	Passed	Remaining
0	58	58016
1	58	29133
2	58	19512
3	59	14698
4	59	11804
5	59	9880
6	59	8507
7	60	7476
8	60	6672
9	60	6027
10	61	5501
11	61	5061
12	61	4687
13	62	4372
14	62	4097
15	62	3859
16	63	3647
17	63	3460
18	63	3291
19	64	3140
20	64	3003
21	64	2878
22	65	2767
23	65	2662
24	65	2565
25	66	2473
26	66	2390
27	66	2312
28	66	2240
29	67	2173
30	67	2110
31	67	2051
32	68	1997
33	68	1944
34	68	1895
35	69	1848
36	69	1805
37	69	1764
38	70	1725
39	70	1689
40	70	1652
41	70	1617
42	71	1585
43	71	1554
44	71	1524
45	72	1497
46	72	1471
47	72	1446
48	73	1420
49	73	1396
50	73	1373
51	74	1350
52	74	1328
53	74	1309
54	75	1289
55	75	1269
56	75	1250
57	75	1232
58	76	1214
59	76	1197
60	76	1181
61	77	1165
62	77	1149
63	77	1134
64	77	1119
65	78	1105
66	78	1093
67	78	1079
68	79	1067
69	79	1054
70	79	1042
71	80	1031
72	80	1020
73	80	1009
74	80	998
75	81	987
76	81	977
77	81	967
78	82	957
79	82	947
80	82	938
81	83	929
82	83	919
83	83	910
84	83	901
85	84	893
86	84	885
87	84	876
88	84	868
89	85	860
90	85	853
91	85	846
92	86	839
93	86	832
94	86	825
95	86	819
96	87	812
97	87	806
98	87	800
99	88	794
100	88	788
101	88	782
102	89	776
103	89	770
104	89	764
105	90	759
106	90	754
107	90	748
108	90	743
109	91	738
110	91	733
111	91	728
112	92	723
113	92	718
114	92	713
115	93	709
116	93	703
117	93	699
118	93	694
119	94	690
120	94	685
121	94	680
122	94	676
123	95	672
124	95	668
125	95	664
126	95	659
127	96	655
128	96	651
129	96	648
130	97	644
131	97	640
132	97	637
133	98	634
134	98	630
135	98	626
136	98	623
137	99	620
138	99	616
139	99	613
140	100	610
141	100	606
142	100	603
143	100	600
144	101	597
145	101	593
146	101	590
147	102	587
148	102	584
149	102	581
150	102	578
151	103	575
152	103	573
153	103	570
154	104	567
155	104	564
156	104	562
157	104	559
158	105	556
159	105	554
160	105	550
161	105	548
162	106	545
163	106	543
164	106	541
165	107	538
166	107	536
167	107	533
168	108	531
169	108	528
170	108	526
171	108	524
172	109	521
173	109	519
174	109	517
175	109	514
176	110	512
177	110	510
178	110	508
179	111	506
180	111	504
181	111	502
182	112	500
183	112	498
184	112	496
185	113	494
186	113	492
187	113	490
188	113	489
189	114	487
190	114	485
191	114	483
192	115	481
193	115	479
194	115	478
195	116	476
196	116	474
197	116	472
198	116	470
199	117	469
200	117	467
201	117	465
202	118	463
203	118	462
204	118	460
205	119	459
206	119	457
207	119	455
208	120	454
209	120	452
210	120	451
211	120	449
212	121	447
213	121	446
214	121	444
215	122	443
216	122	441
217	122	440
218	123	438
219	123	437
220	123	435
221	123	434
222	124	432
223	124	431
224	124	429
225	125	428
226	125	426
227	125	425
228	125	423
229	126	422
230	126	421
231	126	419
232	127	418
233	127	417
234	127	415
235	127	414
236	128	413
237	128	411
238	128	410
239	129	408
240	129	407
241	129	406
242	129	404
243	130	403
244	130	402
245	130	401
246	131	399
247	131	398
248	131	397
249	132	396
250	132	394
251	132	393
252	132	392
253	133	391
254	133	389
255	133	388
256	134	387
257	134	386
258	134	385
259	134	384
260	135	383
261	135	382
262	136	381
263	136	380
264	136	379
265	137	378
266	137	377
267	137	376
268	138	375
269	138	374
270	138	373
271	139	372
272	139	371
273	139	369
274	139	368
275	140	367
276	140	367
277	141	366
278	141	365
279	141	364
280	141	363
281	142	362
282	142	361
283	142	360
284	143	359
285	143	358
286	143	357
287	143	355
288	144	354
289	144	353
290	144	352
291	145	351
292	145	350
293	145	349
294	145	348
295	146	347
296	146	346
297	146	345
298	147	345
299	147	344
300	147	343
301	148	342
302	148	341
303	148	340
304	149	339
305	149	338
306	149	337
307	150	337
308	150	336
309	150	335
310	150	334
311	151	333
312	151	332
313	151	331
314	152	330
315	152	329
316	152	328
317	152	327
318	153	326
319	153	326
320	153	325
321	153	324
322	154	323
323	154	322
324	154	321
325	155	320
326	155	319
327	155	318
328	155	318
329	156	317
330	156	316
331	156	315
332	157	314
333	157	313
334	157	313
335	158	312
336	158	311
337	158	310
338	158	309
339	159	309
340	159	308
341	159	307
342	160	306
343	160	305
344	160	305
345	161	304
346	161	303
347	161	302
348	161	301
349	162	301
350	162	300
351	162	299
352	163	299
353	163	298
354	163	297
355	164	296
356	164	295
357	164	295
358	164	294
359	165	293
360	165	292
361	165	292
362	166	291
363	166	290
364	166	290
365	166	289
366	167	288
367	167	287
368	167	286
369	168	286
370	168	285
371	168	284
372	169	284
373	169	283
374	169	282
375	169	281
376	170	281
377	170	280
378	171	280
379	171	280
380	172	279
381	172	278
382	172	278
383	172	277
384	173	276
385	173	276
386	173	275
387	174	274
388	174	274
389	174	273
390	175	272
391	175	271
392	175	271
393	175	270
394	176	269
395	176	269
396	176	268
397	176	267
398	177	267
399	177	266
400	178	266
401	178	265
402	178	264
403	179	264
404	179	263
405	179	263
406	180	262
407	180	261
408	180	261
409	181	260
410	181	259
411	181	259
412	181	258
413	182	257
414	182	257
415	182	256
416	182	255
417	183	255
418	183	254
419	183	253
420	184	253
421	184	252
422	184	252
423	185	251
424	185	250
425	185	250
426	186	249
427	186	249
428	186	248
429	186	247
430	187	247
431	187	246
432	187	245
433	188	245
434	188	244
435	188	244
436	189	243
437	189	242
438	189	242
439	189	241
440	190	241
441	190	240
442	190	239
443	191	239
444	191	238
445	191	238
446	192	237
447	192	237
448	192	236
449	193	236
450	193	235
451	193	234
452	194	234
453	194	233
454	194	233
455	195	232
456	195	232
457	195	231
458	196	231
459	196	230
460	196	230
461	197	229
462	197	228
463	197	228
464	197	227
465	198	227
466	198	226
467	198	226
468	199	225
469	199	224
470	199	224
471	200	223
472	200	223
473	200	222
474	201	222
475	201	221
476	201	221
477	201	220
478	202	219
479	202	219
480	202	218
481	203	218
482	203	217
483	203	217
484	204	216
485	204	216
486	204	215
487	204	215
488	205	214
489	205	213
490	205	213
491	206	212
492	206	212
493	206	211
494	207	211
495	207	210
496	207	210
497	208	209
498	208	209
499	208	208
500	209	208
501	209	207
502	209	207
503	209	206
504	210	206
505	210	205
506	210	205
507	211	204
508	211	204
509	211	203
510	212	202
511	212	202
512	212	202
513	213	201
514	213	200
515	213	200
516	213	199
517	214	199
518	214	198
519	214	198
520	215	197
521	215	197
522	215	196
523	216	196
524	216	195
525	216	195
526	217	194
527	217	194
528	217	193
529	217	193
530	218	192
531	218	192
532	218	191
533	219	191
534	219	190
535	219	190
536	219	189
537	220	189
538	220	188
539	220	188
540	221	187
541	221	187
542	221	186
543	221	185
544	222	185
545	222	184
546	222	184
547	223	184
548	223	183
549	223	183
550	224	182
551	224	182
552	224	181
553	225	181
554	225	180
555	225	180
556	226	179
557	226	179
558	226	178
559	226	178
560	227	177
561	227	177
562	227	176
563	228	176
564	228	175
565	228	175
566	228	174
567	229	174
568	229	173
569	229	173
570	230	172
571	230	172
572	230	172
573	231	171
574	231	171
575	231	170
576	232	170
577	232	169
578	232	169
579	232	168
580	233	168
581	233	167
582	233	167
583	234	166
584	234	166
585	234	165
586	234	165
587	235	164
588	235	164
589	235	163
590	236	163
591	236	162
592	236	162
593	236	161
594	237	161
595	237	160
596	237	160
597	238	160
598	238	159
599	238	159
600	239	158
601	239	158
602	239	157
603	240	157
604	240	156
605	240	156
606	241	156
607	241	155
608	241	155
609	242	154
610	242	154
611	242	153
612	242	153
613	243	152
614	243	152
615	243	151
616	244	151
617	244	151
618	244	150
619	245	150
620	245	149
621	245	149
622	245	148
623	246	148
624	246	147
625	246	147
626	247	146
627	247	146
628	247	146
629	247	145
630	248	145
631	248	144
632	248	144
633	249	143
634	249	143
635	249	142
636	249	142
637	250	141
638	250	141
639	250	141
640	251	140
641	251	140
642	251	139
643	252	139
644	252	138
645	252	138
646	252	137
647	253	137
648	253	137
649	253	136
650	254	136
651	254	135
652	254	135
653	255	134
654	255	134
655	255	134
656	255	133
657	256	133
658	256	132
659	256	132
660	257	131
661	257	131
662	257	130
663	257	130
664	258	130
665	258	129
666	258	129
667	259	128
668	259	128
669	259	127
670	259	127
671	260	127
672	260	126
673	260	126
674	261	125
675	261	125
676	261	124
677	262	124
678	262	124
679	262	123
680	262	123
681	263	122
682	263	122
683	263	121
684	264	121
685	264	121
686	264	120
687	265	120
688	265	119
689	265	119
690	265	118
691	266	118
692	266	118
693	266	117
694	267	117
695	267	116
696	267	116
697	267	115
698	268	115
699	268	115
700	268	114
701	269	114
702	269	113
703	269	113
704	270	113
705	270	112
706	270	112
707	271	111
708	271	111
709	271	111
710	272	110
711	272	110
712	272	109
713	272	109
714	273	108
715	273	108
716	273	108
717	274	107
718	274	107
719	274	106
720	275	106
721	275	106
722	275	105
723	276	105
724	276	104
725	276	104
726	276	104
727	277	103
728	277	103
729	277	102
730	278	102
731	278	101
732	278	101
733	278	101
734	279	100
735	279	100
736	279	99
737	280	99
738	280	99
739	280	98
740	281	98
741	281	97
742	281	97
743	281	96
744	282	96
745	282	96
746	282	95
747	282	95
748	283	94
749	283	94
750	283	94
751	284	93
752	284	93
753	284	92
754	285	92
755	285	92
756	285	91
757	285	91
758	286	90
759	286	90
760	286	90
761	287	89
762	287	89
763	287	88
764	288	88
765	288	88
766	288	87
767	288	87
768	289	86
769	289	86
770	289	86
771	290	85
772	290	85
773	290	84
774	291	84
775	291	84
776	291	83
777	291	83
778	292	82
779	292	82
780	292	82
781	293	81
782	293	81
783	293	80
784	293	80
785	294	80
786	294	79
787	294	79
788	295	78
789	295	78
790	295	78
791	296	77
792	296	77
793	296	77
794	297	76
795	297	76
796	297	75
797	298	75
798	298	75
799	298	74
800	298	74
801	299	73
802	299	73
803	299	73
804	300	72
805	300	72
806	300	71
807	300	71
808	301	71
809	301	70
810	301	70
811	302	69
812	302	69
813	302	69
814	303	68
815	303	68
816	303	68
817	304	67
818	304	67
819	304	66
820	305	66
821	305	66
822	305	65
823	306	65
824	306	65
825	306	64
826	307	64
827	307	63
828	307	63
829	307	63
830	308	62
831	308	62
832	308	61
833	309	61
834	309	61
835	309	60
836	310	60
837	310	59
838	310	59
839	310	59
840	311	58
841	311	58
842	311	58
843	312	57
844	312	57
845	312	56
846	313	56
847	313	56
848	313	55
849	313	55
850	314	55
851	314	54
852	314	54
853	315	53
854	315	53
855	315	53
856	316	52
857	316	52
858	316	51
859	316	51
860	317	51
861	317	50
862	317	50
863	318	50
864	318	49
865	318	49
866	319	48
867	319	48
868	319	48
869	320	47
870	320	47
871	320	47
872	321	46
873	321	46
874	321	45
875	322	45
876	322	45
877	322	44
878	322	44
879	323	44
880	323	43
881	323	43
882	324	42
883	324	42
884	324	42
885	324	41
886	325	41
887	325	41
888	325	40
889	326	40
890	326	39
891	326	39
892	327	39
893	327	38
894	327	38
895	328	38
896	328	37
897	328	37
898	328	36
899	329	36
900	329	36
901	329	35
902	330	35
903	330	35
904	330	34
905	331	34
906	331	33
907	331	33
908	331	33
909	332	32
910	332	32
911	332	32
912	333	31
913	333	31
914	333	30
915	333	30
916	334	30
917	334	29
918	334	29
919	335	29
920	335	28
921	335	28
922	336	28
923	336	27
924	336	27
925	337	26
926	337	26
927	337	26
928	338	25
929	338	25
930	338	25
931	338	24
932	339	24
933	339	23
934	339	23
935	340	23
936	340	22
937	340	22
938	340	22
939	341	21
940	341	21
941	341	21
942	342	20
943	342	20
944	342	19
945	343	19
946	343	19
947	343	18
948	343	18
949	344	18
950	344	17
951	344	17
952	345	17
953	345	16
954	345	16
955	346	15
956	346	15
957	346	15
958	346	14
959	347	14
960	347	14
961	347	13
962	348	13
963	348	13
964	348	12
965	348	12
966	349	11
967	349	11
968	349	11
969	350	10
970	350	10
971	350	10
972	351	9
973	351	9
974	351	9
975	352	8
976	352	8
977	352	7
978	353	7
979	353	7
980	353	6
981	353	6
982	354	6
983	354	5
984	354	5
985	355	5
986	355	4
987	355	4
988	355	3
989	356	3
990	356	3
991	356	2
992	357	2
993	357	2
994	357	1
995	357	1
996	358	1
997	358	0
998	358	0
999	359	0
